de,en,predicted_de
"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a cover runs in the snow.,"Eine Hund mit einem Kocher spielt im Schnee.
"
Eine Familie spielt am Strand mit ihrem Hund.,A family is playing on the beach with their dog.,"Ein Familie spielt an der Strand mit ihrem Hund.
"
"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and a child embrace while the child tastes what they have been making.,"Die Frau und die Kind einen Eichenbruch, das der Kind zur"
Zwei Männer und eine Dame stehen im Freien.,Two men and a lady are standing outside.,"Zwei Männer und eine Frau sind im Garten standen.
"
"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men using logs to push a boat out of the water.,Eine Gruppe von Mannes mit Logen umfangreicherei ein Schiff
Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man drinks from a wineglass while reading the paper.,"Ein Mann liest der Tageszeitung, als er einen Weinstü"
Ein ganz in schwarz gekleideter Mann spielt Piano.,A man wearing a all black and playing a piano.,Ein Mann in einem alten Black und spielende ungabelnstimmigen
Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A young boy wearing a blue jersey and yellow shorts is playing soccer.,"Ein junge Mädchen, die in blauem Jerri und jahnen"
Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a stone structure with his arms out like a bird.,Der Mann standt auf einem stolzen Steg mit seinen Arme gek
Ein Hund trinkt draußen Wasser auf dem Gras.,A dog drinks water outside on the grass.,"Un hund wärts um Wasser an der Garten.
"
Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops are looking at the camera.,Zwei Frauen in Tanktopen beiden sind auf dem Bildschirm look
Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,A man is sitting in a barber's chair getting ready for a shave.,Ein Mann sitzt im Brauerziererseits bei einem Schwanget
Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,A young child wearing green boots playing in a mud puddle,"Ein junges Kind mit grünem Booten spielte im Fluss.
"
Ein Mann schneidet Holz mit einer Kettensäge.,A man using a chainsaw to cut lumber.,"Ein Mann mit einem Holzkopf erhält, um Holz z"
Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.,A man sitting at a picnic table with a tray and partially consumed beer in front of him.,Der Mann sitzt am Picnicssitzenstube mit einem Träumen und
Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.,The boy wearing a black shirt and blue jeans is holding a red baseball bat.,Der Junge mit dem schwarzen T-Shirt und blauen Jeans hat e
"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras.",A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,Der schwarze Haarbeider mit Gläserne Augen und einem alten
Hunde Laufen auf einer Hunderennbahn.,Dogs run at a dog racetrack.,"Die Hunde spielen an einem Harzgerät.
"
Ein Lichttechniker mit Tribal-Tattoos richtet einen Scheinwerfer über einen Balkon.,A light technician man with tribal tattoos aiming a spotlight over a balcony.,Eine Lichttechniker mit Tätigkeitszeichen bei einem Bal
Zwei Deutsche Schäferhunde knurren einander an.,Two German sheperds snarling at each other.,"Zwei deutscher Hunde, schnell und schläftig a"
"Das ist eine Gruppe von Leuten, die auf einem Event herumstehen.",This is a group of people standing around at some sort of event.,"Das sind eine Gruppe der Menschen, die in einem anderen Event verw"
Ein braun-weißer Hund holt ein Spielzeug.,A brown and white dog fetching a toy.,"Eine braun und weiße Hund fetten einen Spielzeug.
"
Ein weißhaariger Mann spielt Akkordeon zwischen ein paar Gebäuden.,Man with white hair playing an accordion in the middle of some buildings.,Der Mann mit weißen Haare spielte ein Accordionsänger im
Eine Frau mit braunen Haaren sitzt auf einer Bank vor einem Café.,A woman with brown hair sitting on a bench outside a cafe.,Eine Frau mit braunen Haare sitzt am Bahnhof des Kaff
Ein Mann spielt neben einem Fahrrad Panflöte.,A man next to a bicycle is playing a pan flute.,Ein Mann nach einem Radfahrer spielt zum Flötepan
Zwei Kinder balancieren auf einem Stamm und halten ein Seil.,Two kids are balancing on a log and holding a rope.,Zwei Kinder sind für einen Log zu unterhalten und einem R
Ein Mann auf einem Motorrad zeigt einen Trick auf einer Rennstrecke.,A man riding a motorcycle is performing a trick at a track.,Ein Mann mit einem Motorrad spielt einen Trick an der Straße.
Eine junge Frau mit einem purpurnen Tuch über dem Gesicht entspannt auf einem hölzernen Deck.,A young woman with a purple cloth hiding her face relaxes on a wooden deck.,"Eine junge Frau mit einem roten Kleid, die ihren Haut"
Die Frau im braunen Shirt sitzt auf einer hellroten Bank.,The woman in the brown shirt is sitting on a bright red bench.,Die Frau im braunen T-Shirt sitzt über einen ro
Ein Hund läuft auf einem Baumstamm über einen kleinen Fluss.,A dog walks on a log across a small river.,Der Hund schläft am Log gegangen an einem kleine See
Ein junger Mann in einem weißen T-Shirt und grün-schwarzen Shorts steht auf einem Pfeiler.,A young man wearing a white t-shirt and green and black shorts standing on a stump.,Un jongling guter Mensch trügt in einen bleicher T-Sh
Alle Personen in der Gruppe stehen unter Regenschirmen.,The group of people are all covered by umbrellas.,Die Gruppe müssen sich auf Umbrennen schutzgenommen
"Ein Mann macht Werbung mit einem riesigen Schild, das auf sein Fahrrad gebunden ist.",A man advertises with a giant sign tied onto his bicycle.,"Ein Mann enthält eine größte Signe, das in i"
Ein Mann wirft einen Ast in einen Kanal während zwei Hunde zusehen.,A man is throwing a log into a waterway while two dogs watch.,"Ein Mann läuft einen Log ins Wasserweg, wenzen z"
"Gruppe älterer Menschen, die in einem Zelt am Wasser Instrumente spielen.",Group of elders playing instruments under a tent by the water.,Ein Gruppe von Alters mit Instrumenten in einem Hügel um den Wasser
Eine Ansicht einer belebten Straße in der Stadt.,A view of a crowded city street.,"Der Bild eines krowdisierten Stadtsträdens.
"
Eine junge blonde Frau hält ein weißes Seil an einem sonnigen Tag.,A young blond woman holds a white rope on a sunny day.,Eine junge Blondin braucht einen weißen Rope unter
Zwei Personen in blauen Hemden stehen mit einem Megafon im Freien.,Two people in blue shirts are outside with a bullhorn.,Zwei Personen in blauem Schuhe sind im Garten mit einem Bull
Ein schwarzer Hund springt in einen Pool.,A black dog springs up into a pool.,"Eine schwarze Hund spielt in einem See zuiges.
"
Ein Cowboy reitet ein Wildpferd in einem Wettbewerb.,A cowboy riding on the back of a bronco in a competition.,Un Cowboys-Rider bei der Back des Broncos im Zusammenhang mit e
Eine Gruppe von Bahnarbeitern macht Wartungsarbeiten an Bahngleisen.,A railroad work crew performs maintenance on railroad tracks.,Eine Eisenbahnarbeitskreis führeste ein Arbeit
Ein Arbeiter in einer orangefarbenen Weste arbeitet mit einer Schaufel.,A worker in an orange vest is using a shovel.,Der Arbeiter in der Orange-Kopf verbrannte ein Schul
Zwei Bauarbeiter diskutieren auf einer Baustelle.,Two construction workers have a discussion while on the work site.,Zwei Baumeister haben eine Geschichte untersucht wäh
Drei Männer gehen bergauf.,Three men are walking up hill.,"Drei Mann lernt weg an der Heide.
"
Eine asiatische Frau in einem Hochzeitskleid mit Blumenmuster posiert mit ihren Brautjungfern auf einer Brücke.,An Asian woman in a floral wedding dress poses on a bridge close to her bridesmaids.,Es ist ein Asiatischer Frau im Blauen Getränkeb
Ein junger Mann stimmt seine Gitarre in der Küche.,A young man tunes his guitar in the kitchen.,Ein jähriges Mann liest seinen Acoustic Guitar im Küche.
Drei Jungen spielen mit Schwämmen und Wassereimern.,Three boys are playing with sponges and buckets of water.,"Tre Boys sind mit Spüne und Kanalen von Wasser gehen.
"
Drei Arbeiter machen Ausbesserungen auf dem Gehsteig.,Three construction workers are mending pavement.,"Drei Baumwolken werden ermöglichen, um Pavement"
Leute entspannen in einem Wald neben Kanus.,People chilling in at forest next to canoes.,"Amateure sehen im Wald bei Kanosen.
"
Ein Chor versammelt sich in einer Kirche.,A choir group is gathered together in a church.,"Die Chorverein besteht im Kirche zusammen.
"
Eine Gruppe Teenager springt bei Nacht in die Luft und macht lustige Posen für die Kamera.,A group of young teenagers are jumping at night making funny poses for the camera.,Ein großes Gang von junge Jugendlichen läuft nicht
"Zwei Männer fahren in Kajaks, eines orange und das andere blau, einen Fluss hinab.","Two guys are kayaking, one orange one blue, down a creek.","Zwei Mann spielen Kabel, ein Orange und ein Blau, durch"
Zwei Arbeiter streichen Zement auf einen Ziegelbau.,Two workers spread cement onto a brick building.,Zwei Arbeitnehmer bestellen Cement durch einem Baukasten
Eine Dame in einem rötlichen Sweater und Jeans sitzt mit den Händen auf ihrem linken Knie.,A lady wearing a redish sweater and jeans is sitting with hands on her left knee,Ein Frau mit einer roten Schleuder und Jeans sitzt mit i
Zwei Schauspieler inszenieren einen Kampf vor einen gebannten Publikum.,Two performers putting on a mock fight for an audience that is watching attentively.,Zwei Kreativitäten bewegen eine mögliche Feuer
Ein Soldat entspannt und wartet auf einem Flughafen.,A GI relaxes and waits at an airport.,Eine Gefreiter schafft sich und verlieren am Flughafen
"Ein Mann in einem gelben Mantel achtet auf ein Feuer, ein Junge im Anorak sieht zu.","A man in a yellow coat tends a fire, a boy in a parka watches.",Ein Mann imgeln einen kolorspezifischen Schuhe bei
Ein Mann und ein Junge auf einem felsigen Strand.,A man and a boy on a rocky beach.,"Ein Mann und eine Jungfrau am Strand, um den Berge zu"
"Eine Frau auf einem Boot namens ""El Corazon"" lässt schwarze Gewichte ins Wasser fallen.","A woman on a boat named ""El Corazon"" drops black weights into the water.","Eine Frau am Bote, die von der Name „El Corazón“"
Ein Junge sitzt auf einem Fernrohr und schaut hindurch.,A boy sitting on and looking out from a microscope.,Ein Kind sitzt in und spielt auf einer Mikroskopie
Ein barfüßiges junges Mädchen in einem rosa Kleid springt im Freien.,A young barefoot girl in a pink dress is jumping outside.,"Eine junge Tochter, mit einem Bettescheiniger klein und ro"
Viele Menschen sitzen um ein Zelt im Freien.,Many people are sitting around a tent outside.,Vomherzigenen sind bei einem Tentschloss gesucht
"Ein Jugendlicher in einem schwarzen T-Shirt mit dem Aufdruck ""Asian Pacific 2007"" sitzt und spielt eine Trommel.","A youth with a black shirt that says ""Asian Pacific 2007"" plays a drum while sitting.","Eine Jugend mit einem schwarzen T-Shirt, die ""Asien"
"Ein Mann verkauft Waren am Rand der Straße, die zu einem Großen Berg im Canyon führt.",A man selling items near the roadside to the great mountain of Canyon.,Ein Mann befindet seine Äußerungen auf dem Weg
Das Mädchen in Gelb lacht das Mädchen in Orange aus während das Mädchen in Blau zusieht.,The girl in yellow is laughing at the girl wearing orange whilst being watched by the girl in blue.,"Die Tochter in Gold lachte, die Tochter mit Oranje wei"
Ein Hund springt im Freien über ein Hindernis.,A dog jumps over an obstacle outside.,Eine Hund spielt über einem Obstaktus im Garten.
Hund mit schwarzem Halsband wälzt sich in Staub und trockenen Blättern.,Dog with black collar rolling in dirt and dried leaves,Hund mit Schwarzem Collar rolliert im Wald und dreht auf Bla
Zwei braune Hunde spielen grob miteinander.,Two brown dogs playing in a rough manner.,Zwei braunen Hunde spielende um einem schwierigen Lä
"Ein Mann mit Schnurrbart und Bart hält eine Pfanne, aus der Flammen hochsteigen.",A man with a mustache and beard is holding a frying pan that has flames rising from it.,Der Mann mit dem Bauch und der Haar klingt ein Fischpan z
Ein Mann mit Kleidung aus dem Unabhängigkeitskrieg schlägt eine Glocke.,"A man, wearing revolutionary period clothes, is ringing a bell.","Ein Mann, in Revolutionärer Zeitenkonfektiven Schutzsch"
Ein Mann in einem schwarzen Shirt angelt an einem felsigen Ufer.,A man in a black shirt fishing on a rocky shore.,Der Mann im schwarzen T-Shirt fischt am gefährdten
Zwei Hunde beschnuppern sich gegenseitig Nase an Nase.,Two dogs are nuzzling each other nose to nose.,Zwei Hunde sind nächstes auf dem Kopf zu se
Zwei Männer unterhalten sich auf dem Gehsteig während ein Auto vorbeifährt.,Two men stop to chat on the sidewalk as a car passes by.,Zwei Männer spielen eine Geschichte an der Straße
Ein Chinese sitzt und wartet auf Kundschaft.,A chinese man sitting down waiting for customers.,"Un chinois homme assis en train de servir les clients.
"
Geparkte Autos mit einem Schulbus dahinter.,Parked cars with a school bus behind them.,Gefahrten Autos mit Schulebus bei ihnen häufig
Zwei Frauen in ähnlichen T-Shirts gehen nach links.,Two woman wearing similar shirts walk to the left.,"Zwei Frauen, die similarer T-Shirt sind weiterlegt"
Ein kleines Kind in einer orangefarbenen Rettungsweste hält ein Paddel und paddelt in einem blauen Kajak auf einem Gewässer.,A young child wearing an orange life vest holding an oar paddling a blue kayak in a body of water.,Ein jüngster Kind hat eine grösste Farbenwärts
Menschen gehen auf einem Pfad in einem Park voller Bäume.,People walking on a trail in a tree filled park.,Vom Stranden im Park fließen Personen weiter zu einer B
"Drei Jugendliche reden in einer Menschenmenge, die Frau blickt verärgert.","Three young adults talk in a crowd of people, the woman looks upset.",Sie sind drei jungen Mädchen und haben eine Frau an
Eine Frau und ein Kind vor der Tür ihres idyllischen Hauses.,Woman and child outside the front door of their scenic home.,"Frau und Kinde an der Frontbau des schönsten Hauses.
"
