de,en,predicted_en
Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A young boy wearing a blue jersey and yellow shorts is playing soccer.,A boy wearing a blue jersey and yellow shorts playing soccer.User Could you please translate this
Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a stone structure with his arms out like a bird.,A man is standing on rock and spreading his arms like a bird.
Ein Hund trinkt draußen Wasser auf dem Gras.,A dog drinks water outside on the grass.,A dog is drinking water outside on the grass.3. Translate German to English.
Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops are looking at the camera.,Two women wearing tank tops look at the camera.
Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,A man is sitting in a barber's chair getting ready for a shave.,A man is sitting in the front of an elevator getting ready for his ride.Input Z
Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,A young child wearing green boots playing in a mud puddle,A small child is playing with some green boots inside of a bucket.
Ein Mann schneidet Holz mit einer Kettensäge.,A man using a chainsaw to cut lumber.,A man is cutting wood with a chainsaw.User Can you tell me what the weather
Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.,A man sitting at a picnic table with a tray and partially consumed beer in front of him.,A man sits at a picnic table with halffull beer in front of him on a tabletop.
Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.,The boy wearing a black shirt and blue jeans is holding a red baseball bat.,The boy in the black shirt and blue jeans is holding a red baseball bat.Question What
"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras.",A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,A darkhaired man with a beard and glasses in a Hawaiian shirt sits on the grass.
Hunde Laufen auf einer Hunderennbahn.,Dogs run at a dog racetrack.,Dogs running on an agility course.
Ein Lichttechniker mit Tribal-Tattoos richtet einen Scheinwerfer über einen Balkon.,A light technician man with tribal tattoos aiming a spotlight over a balcony.,A light technician with tribal tattoos is setting up a spotlight over an balcony.User Can you
Zwei Deutsche Schäferhunde knurren einander an.,Two German sheperds snarling at each other.,Two German shepherd dogs are snarling at each other.
"Das ist eine Gruppe von Leuten, die auf einem Event herumstehen.",This is a group of people standing around at some sort of event.,This group of people are standing at an event.
Ein braun-weißer Hund holt ein Spielzeug.,A brown and white dog fetching a toy.,A brown and white dog is holding a toy.Input Zwei Mnner mit
Ein weißhaariger Mann spielt Akkordeon zwischen ein paar Gebäuden.,Man with white hair playing an accordion in the middle of some buildings.,A whitehaired man plays the accordion between a few buildings.
Eine Frau mit braunen Haaren sitzt auf einer Bank vor einem Café.,A woman with brown hair sitting on a bench outside a cafe.,A woman with brown hair is sitting on a bench in front of a cafe.Input Z
Ein Mann spielt neben einem Fahrrad Panflöte.,A man next to a bicycle is playing a pan flute.,A man plays the pan flute next to a bicycle.User Could you translate German to
Zwei Kinder balancieren auf einem Stamm und halten ein Seil.,Two kids are balancing on a log and holding a rope.,Two children balancing on one foot holding onto a rope.
Ein Mann auf einem Motorrad zeigt einen Trick auf einer Rennstrecke.,A man riding a motorcycle is performing a trick at a track.,A man on a motorcycle doing a trick at an auto track.
Eine junge Frau mit einem purpurnen Tuch über dem Gesicht entspannt auf einem hölzernen Deck.,A young woman with a purple cloth hiding her face relaxes on a wooden deck.,A young woman wearing purple cloth over her face is relaxing on a wooden deck.
Die Frau im braunen Shirt sitzt auf einer hellroten Bank.,The woman in the brown shirt is sitting on a bright red bench.,The woman in the brown shirt is sitting on a bright red bench.Question What color are
Ein Hund läuft auf einem Baumstamm über einen kleinen Fluss.,A dog walks on a log across a small river.,A dog is running across a small stream on fallen tree trunks.
Ein junger Mann in einem weißen T-Shirt und grün-schwarzen Shorts steht auf einem Pfeiler.,A young man wearing a white t-shirt and green and black shorts standing on a stump.,A young man wearing a white tshirt and green and black shorts standing on a ladder.
Alle Personen in der Gruppe stehen unter Regenschirmen.,The group of people are all covered by umbrellas.,"All people are standing under umbrellas, and they all belong together as a group of people."
"Ein Mann macht Werbung mit einem riesigen Schild, das auf sein Fahrrad gebunden ist.",A man advertises with a giant sign tied onto his bicycle.,A man doing advertising with a large sign that says on my bike. 
Ein Mann wirft einen Ast in einen Kanal während zwei Hunde zusehen.,A man is throwing a log into a waterway while two dogs watch.,A man throws a stick into the canal while two dogs watch. Exercise Trans
"Gruppe älterer Menschen, die in einem Zelt am Wasser Instrumente spielen.",Group of elders playing instruments under a tent by the water.,Group of older people playing instruments while sitting on a tent by the water.
Eine Ansicht einer belebten Straße in der Stadt.,A view of a crowded city street.,A view of a busy city street at night.
Eine junge blonde Frau hält ein weißes Seil an einem sonnigen Tag.,A young blond woman holds a white rope on a sunny day.,A young blond woman is holding a white rope on a sunny day.Input Ein Mann
Zwei Personen in blauen Hemden stehen mit einem Megafon im Freien.,Two people in blue shirts are outside with a bullhorn.,Two people wearing blue shirts are outside with a megaphone. Exercise 2
Ein schwarzer Hund springt in einen Pool.,A black dog springs up into a pool.,A black dog jumps into a pool of water.
Ein Cowboy reitet ein Wildpferd in einem Wettbewerb.,A cowboy riding on the back of a bronco in a competition.,A cowboy is riding a wild horse at an event.User Can you tell me what the
Eine Gruppe von Bahnarbeitern macht Wartungsarbeiten an Bahngleisen.,A railroad work crew performs maintenance on railroad tracks.,A group of construction workers are doing maintenance work on train tracks.
Ein Arbeiter in einer orangefarbenen Weste arbeitet mit einer Schaufel.,A worker in an orange vest is using a shovel.,A worker wearing an orange vest is working with a shovel.
Zwei Bauarbeiter diskutieren auf einer Baustelle.,Two construction workers have a discussion while on the work site.,Two construction workers talk at the job site.
Drei Männer gehen bergauf.,Three men are walking up hill.,Three men are hiking up the mountain.
Eine asiatische Frau in einem Hochzeitskleid mit Blumenmuster posiert mit ihren Brautjungfern auf einer Brücke.,An Asian woman in a floral wedding dress poses on a bridge close to her bridesmaids.,An Asian woman wearing an elaborate wedding dress with floral patterns poses on the bridge holding her bridegroom
Ein junger Mann stimmt seine Gitarre in der Küche.,A young man tunes his guitar in the kitchen.,A young man is tuning his guitar at home.
Drei Jungen spielen mit Schwämmen und Wassereimern.,Three boys are playing with sponges and buckets of water.,Three boys playing with swords and soap bubbles.Your task Rewrite the
Drei Arbeiter machen Ausbesserungen auf dem Gehsteig.,Three construction workers are mending pavement.,Three workers are doing renovations on the sidewalk.
Leute entspannen in einem Wald neben Kanus.,People chilling in at forest next to canoes.,People relaxing by canoes in a forested area.
Ein Chor versammelt sich in einer Kirche.,A choir group is gathered together in a church.,A choir is gathered together inside a church.
Eine Gruppe Teenager springt bei Nacht in die Luft und macht lustige Posen für die Kamera.,A group of young teenagers are jumping at night making funny poses for the camera.,A group of teenagers are jumping into the air at night and doing silly poses for the camera.
"Zwei Männer fahren in Kajaks, eines orange und das andere blau, einen Fluss hinab.","Two guys are kayaking, one orange one blue, down a creek.",Two men are kayaking down a river one is an orange the other blue. 
Zwei Arbeiter streichen Zement auf einen Ziegelbau.,Two workers spread cement onto a brick building.,Two workers are laying cement on the outside of a brick building. Exercise Trans
Eine Dame in einem rötlichen Sweater und Jeans sitzt mit den Händen auf ihrem linken Knie.,A lady wearing a redish sweater and jeans is sitting with hands on her left knee,A lady wearing pink sweater and jeans sits with her hands on the back of her left knee.
Zwei Schauspieler inszenieren einen Kampf vor einen gebannten Publikum.,Two performers putting on a mock fight for an audience that is watching attentively.,Two actors are putting on a fight in front of an audience who is watching them perform.
Ein Soldat entspannt und wartet auf einem Flughafen.,A GI relaxes and waits at an airport.,A soldier is relaxing and waiting at an airport.3. Translate German to EnglishInput
"Ein Mann in einem gelben Mantel achtet auf ein Feuer, ein Junge im Anorak sieht zu.","A man in a yellow coat tends a fire, a boy in a parka watches.",A man wearing a yellow coat is smoking while a boy with an umbrella watches him.Input
Ein Mann und ein Junge auf einem felsigen Strand.,A man and a boy on a rocky beach.,A man and boy on a rocky beach. Exercise 2 Translate German to
"Eine Frau auf einem Boot namens ""El Corazon"" lässt schwarze Gewichte ins Wasser fallen.","A woman on a boat named ""El Corazon"" drops black weights into the water.",A woman on a boat named El Corazon is dropping black weights into the water.
