en,de,ende
Two people riding bikes through a mountainous region.,Zwei Personen fahren auf Fahrrädern durch eine Gebirgslandschaft.,Zwei Personen mit dem Fahrrad durch eine Bergregion.
A girl jumping rope on a sidewalk near a parking garage.,Ein Mädchen beim Seilhüpfen auf dem Gehweg nahe einer Garage.,Ein Mädchen springt Seil auf dem Bürgersteig in der Nähe einer Garage.
A man wearing an orange shirt and helmet.,Ein Mann trägt ein orangefarbenes Shirt und einen Helm.,Ein Mann mit einem orangenfarbenen Hemd und Helm.
"A small boy plays with plastic blocks, cars, and animals with an adult watching closely.","Ein kleiner Junge spielt mit Plastikklötzen, Autos und Tieren während eine Erwachsene ihn aufmerksam beobachtet.","Ein kleiner Junge spielt mit Kunststoffblöcken, Autos und Tieren mit einem Erwachsenen, der genau beobachtet."
A little girl opening a Christmas present.,"Ein kleines Mädchen, das ein Weihnachtsgeschenk auspackt.",Ein kleines Mädchen öffnet ein Weihnachtsgeschenk.
The woman in blue is operating a camera in front of two other women.,Die blau gekleidete Frau bedient eine Kamera vor zwei anderen Frauen.,Die Frau in Blau betätigt eine Kamera vor zwei anderen Frauen.
A little girl tries taking a nap on the comfy sofa.,Ein kleines Mädchen versucht auf einem gemütlichen Sofa ein Nickerchen zu machen.,Ein kleines Mädchen versucht auf dem bequemen Sofa zu schlafen.
A brown and black dog running on a trail in the woods.,Ein braun-schwarzer Hund läuft auf einem Pfad im Wald.,Ein brauner und schwarzer Hund läuft auf einem Pfad im Wald.
Two dogs play by a tree.,Zwei Hunde spielen an einem Baum.,Zwei Hunde spielen bei einem Baum.
A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,Ein Marineoffizier in einem schwarzen Mantel und Hose steigt Treppen während die Kamera auf den Hund fokussiert.,"Eine Marine geht mit einem schwarzen Mantel und Hose auf den Treppen, während die Kamera auf den Hund fokussiert"
Two men dressed in green are preparing food in a restaurant.,Zwei grün gekleidete Männer bereiten in einem Restaurant Essen zu.,Zwei in Grün gekleidete Männer bereiten Essen in einem Restaurant vor.
A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.,Ein Mann in schwarzem Leder und einem Cowboyhut schlendert auf einem Renaissancefestival.,"Ein Mann, der in schwarzes Leder und einen Cowboy Hut gekleidet ist, läuft um ein Renaissance-Festival herum."
A dog runs outside with a yellow toy.,Ein Hund läuft mit einem gelben Spielzeug im Freien.,Ein Hund läuft draußen mit einem gelben Spielzeug.
A dog wearing a cover runs in the snow.,"Ein Hund, der einen Mantel trägt, läuft im Schnee.","Ein Hund, der eine Decke trägt, läuft im Schnee."
A family is playing on the beach with their dog.,Eine Familie spielt am Strand mit ihrem Hund.,Eine Familie spielt am Strand mit ihrem Hund.
A woman and a child embrace while the child tastes what they have been making.,"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.","Eine Frau und ein Kind umarmen sich, während das Kind schmeckt, was sie gemacht haben."
Two men and a lady are standing outside.,Zwei Männer und eine Dame stehen im Freien.,Zwei Männer und eine Frau stehen draußen.
A group of men using logs to push a boat out of the water.,"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.","Eine Gruppe von Männern, die Holzstämme benutzten, um ein Boot aus dem Wasser zu schieben."
A man drinks from a wineglass while reading the paper.,Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,"Ein Mann trinkt aus einem Weinglas, während er das Papier liest."
A man wearing a all black and playing a piano.,Ein ganz in schwarz gekleideter Mann spielt Piano.,"Ein Mann, der einen ganz schwarzen Anzug trägt und ein Klavier spielt."
A young boy wearing a blue jersey and yellow shorts is playing soccer.,Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,Ein junger Junge mit blauem Trikot und gelben Shorts spielt Fußball.
A man is standing on a stone structure with his arms out like a bird.,Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,Ein Mann steht auf einer Steinkonstruktion mit den Armen wie ein Vogel heraus.
A dog drinks water outside on the grass.,Ein Hund trinkt draußen Wasser auf dem Gras.,Ein Hund trinkt Wasser draußen auf dem Gras.
Two women wearing tank tops are looking at the camera.,Zwei Frauen in Tank-Tops blicken in die Kamera.,Zwei Frauen mit Tanktops schauen auf die Kamera.
A man is sitting in a barber's chair getting ready for a shave.,Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,Ein Mann sitzt in einem Friseurstuhl und bereitet sich auf eine Rasur vor.
A young child wearing green boots playing in a mud puddle,Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,Ein junges Kind mit grünen Stiefeln spielt in einem Schlammputtel
A man using a chainsaw to cut lumber.,Ein Mann schneidet Holz mit einer Kettensäge.,"Ein Mann, der eine Kettensäge benutzt, um Holz zu schneiden."
A man sitting at a picnic table with a tray and partially consumed beer in front of him.,Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.,Ein Mann sitzt an einem Picknicktisch mit einem Tablett und konsumiert vor ihm teilweise Bier.
The boy wearing a black shirt and blue jeans is holding a red baseball bat.,Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.,"Der Junge, der ein schwarzes Hemd und blaue Jeans trägt, hält einen roten Baseballschläger."
A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras.",Auf dem Gras sitzt ein dunkelhaariger Bärd in Brillen und ein hawaiianisches Hemd.
Dogs run at a dog racetrack.,Hunde Laufen auf einer Hunderennbahn.,Hunde laufen auf einer Rennstrecke.
A light technician man with tribal tattoos aiming a spotlight over a balcony.,Ein Lichttechniker mit Tribal-Tattoos richtet einen Scheinwerfer über einen Balkon.,Ein leichter Techniker Mann mit tribalen Tätowierungen zielt ein Scheinwerfer über einen Balkon.
Two German sheperds snarling at each other.,Zwei Deutsche Schäferhunde knurren einander an.,Zwei deutsche Sheperds schnarlen aufeinander.
This is a group of people standing around at some sort of event.,"Das ist eine Gruppe von Leuten, die auf einem Event herumstehen.","Dies ist eine Gruppe von Leuten, die bei irgendeinem Ereignis herumstehen."
A brown and white dog fetching a toy.,Ein braun-weißer Hund holt ein Spielzeug.,"Ein braun-weißer Hund, der ein Spielzeug holt."
Man with white hair playing an accordion in the middle of some buildings.,Ein weißhaariger Mann spielt Akkordeon zwischen ein paar Gebäuden.,Mann mit weißen Haaren spielt ein Akkordeon in der Mitte einiger Gebäude.
A woman with brown hair sitting on a bench outside a cafe.,Eine Frau mit braunen Haaren sitzt auf einer Bank vor einem Café.,Eine Frau mit braunen Haaren sitzt auf einer Bank vor einem Café.
A man next to a bicycle is playing a pan flute.,Ein Mann spielt neben einem Fahrrad Panflöte.,Ein Mann neben einem Fahrrad spielt eine Panflöte.
Two kids are balancing on a log and holding a rope.,Zwei Kinder balancieren auf einem Stamm und halten ein Seil.,Zwei Kinder balancieren auf einem Block und halten ein Seil.
A man riding a motorcycle is performing a trick at a track.,Ein Mann auf einem Motorrad zeigt einen Trick auf einer Rennstrecke.,"Ein Mann, der auf einem Motorrad fährt, macht einen Trick auf einer Strecke."
A young woman with a purple cloth hiding her face relaxes on a wooden deck.,Eine junge Frau mit einem purpurnen Tuch über dem Gesicht entspannt auf einem hölzernen Deck.,"Eine junge Frau mit einem lila Tuch, das ihr Gesicht verbirgt, entspannt sich auf einem Holzdeck."
The woman in the brown shirt is sitting on a bright red bench.,Die Frau im braunen Shirt sitzt auf einer hellroten Bank.,Die Frau im braunen Hemd sitzt auf einer hellroten Bank.
A dog walks on a log across a small river.,Ein Hund läuft auf einem Baumstamm über einen kleinen Fluss.,Ein Hund geht auf einem Block über einen kleinen Fluss.
A young man wearing a white t-shirt and green and black shorts standing on a stump.,Ein junger Mann in einem weißen T-Shirt und grün-schwarzen Shorts steht auf einem Pfeiler.,Ein junger Mann mit einem weißen T-Shirt und grünen und schwarzen Shorts steht auf einem Stumpf.
The group of people are all covered by umbrellas.,Alle Personen in der Gruppe stehen unter Regenschirmen.,Die Gruppe der Menschen ist alle mit Regenschirmen bedeckt.
A man advertises with a giant sign tied onto his bicycle.,"Ein Mann macht Werbung mit einem riesigen Schild, das auf sein Fahrrad gebunden ist.",Ein Mann macht Werbung mit einem riesigen Schild an seinem Fahrrad gebunden.
A man is throwing a log into a waterway while two dogs watch.,Ein Mann wirft einen Ast in einen Kanal während zwei Hunde zusehen.,"Ein Mann schlägt ein Block in einen Wasserweg, während zwei Hunde beobachten."
Group of elders playing instruments under a tent by the water.,"Gruppe älterer Menschen, die in einem Zelt am Wasser Instrumente spielen.",Gruppe von Ältesten spielen Instrumente unter einem Zelt am Wasser.
A view of a crowded city street.,Eine Ansicht einer belebten Straße in der Stadt.,Ein Blick auf eine überfüllte Stadtstraße.
A young blond woman holds a white rope on a sunny day.,Eine junge blonde Frau hält ein weißes Seil an einem sonnigen Tag.,Eine junge Blondine hält an einem sonnigen Tag ein weißes Seil.
Two people in blue shirts are outside with a bullhorn.,Zwei Personen in blauen Hemden stehen mit einem Megafon im Freien.,Zwei Leute in blauen Hemden sind draußen mit einem Stierhorn.
A black dog springs up into a pool.,Ein schwarzer Hund springt in einen Pool.,Ein schwarzer Hund springt in einen Pool.
A cowboy riding on the back of a bronco in a competition.,Ein Cowboy reitet ein Wildpferd in einem Wettbewerb.,Ein Cowboy auf der Rückseite eines Bronco in einem Wettkampf.
A railroad work crew performs maintenance on railroad tracks.,Eine Gruppe von Bahnarbeitern macht Wartungsarbeiten an Bahngleisen.,Eine Eisenbahnbesatzung führt Wartungsarbeiten auf Eisenbahnstrecken durch.
A worker in an orange vest is using a shovel.,Ein Arbeiter in einer orangefarbenen Weste arbeitet mit einer Schaufel.,Ein Arbeiter in einer orangenen Weste benutzt eine Schaufel.
Two construction workers have a discussion while on the work site.,Zwei Bauarbeiter diskutieren auf einer Baustelle.,Zwei Bauarbeiter diskutieren während der Arbeit.
Three men are walking up hill.,Drei Männer gehen bergauf.,Drei Männer sind auf dem Hügel.
An Asian woman in a floral wedding dress poses on a bridge close to her bridesmaids.,Eine asiatische Frau in einem Hochzeitskleid mit Blumenmuster posiert mit ihren Brautjungfern auf einer Brücke.,Eine asiatische Frau in einem Blumenkleid stellt sich auf einer Brücke in der Nähe ihrer Brautjungfer.
A young man tunes his guitar in the kitchen.,Ein junger Mann stimmt seine Gitarre in der Küche.,Ein junger Mann spielt seine Gitarre in der Küche.
Three boys are playing with sponges and buckets of water.,Drei Jungen spielen mit Schwämmen und Wassereimern.,Drei Jungs spielen mit Schwämmen und Eimern mit Wasser.
Three construction workers are mending pavement.,Drei Arbeiter machen Ausbesserungen auf dem Gehsteig.,Drei Bauarbeiter bearbeiten den Fußweg.
People chilling in at forest next to canoes.,Leute entspannen in einem Wald neben Kanus.,Menschen im Wald neben Kanuen.
A choir group is gathered together in a church.,Ein Chor versammelt sich in einer Kirche.,Eine Chorgruppe wird in einer Kirche versammelt.
A group of young teenagers are jumping at night making funny poses for the camera.,Eine Gruppe Teenager springt bei Nacht in die Luft und macht lustige Posen für die Kamera.,Eine Gruppe junger Teenager springt nachts und macht lustige Posen für die Kamera.
"Two guys are kayaking, one orange one blue, down a creek.","Zwei Männer fahren in Kajaks, eines orange und das andere blau, einen Fluss hinab.","Zwei Jungs machen Kajak, ein orange und ein blau, einen Bach hinunter."
Two workers spread cement onto a brick building.,Zwei Arbeiter streichen Zement auf einen Ziegelbau.,Zwei Arbeiter breiteten Zement auf ein Ziegelgebäude aus.
A lady wearing a redish sweater and jeans is sitting with hands on her left knee,Eine Dame in einem rötlichen Sweater und Jeans sitzt mit den Händen auf ihrem linken Knie.,Eine Dame mit rotem Pullover und Jeans sitzt mit Händen auf ihrem linken Knie
Two performers putting on a mock fight for an audience that is watching attentively.,Zwei Schauspieler inszenieren einen Kampf vor einen gebannten Publikum.,"Zwei Darsteller treten auf einen Scheiternkampf für ein Publikum, das aufmerksam beobachtet."
A GI relaxes and waits at an airport.,Ein Soldat entspannt und wartet auf einem Flughafen.,Ein GI entspannt sich und wartet am Flughafen.
"A man in a yellow coat tends a fire, a boy in a parka watches.","Ein Mann in einem gelben Mantel achtet auf ein Feuer, ein Junge im Anorak sieht zu.","Ein Mann im gelben Mantel kümmert sich um ein Feuer, ein Junge im Parkauhren."
A man and a boy on a rocky beach.,Ein Mann und ein Junge auf einem felsigen Strand.,Ein Mann und ein Junge auf einem felsigen Strand.
"A woman on a boat named ""El Corazon"" drops black weights into the water.","Eine Frau auf einem Boot namens ""El Corazon"" lässt schwarze Gewichte ins Wasser fallen.","Eine Frau auf einem Boot namens ""El Corazon"" legt schwarze Gewichte ins Wasser."
A boy sitting on and looking out from a microscope.,Ein Junge sitzt auf einem Fernrohr und schaut hindurch.,Ein Junge sitzt und schaut aus dem Mikroskop heraus.
A young barefoot girl in a pink dress is jumping outside.,Ein barfüßiges junges Mädchen in einem rosa Kleid springt im Freien.,Eine junge barfuß-Mädchen in einem rosa Kleid springt draußen.
