de,en,predicted_de
Ein Hund läuft mit einem gelben Spielzeug im Freien.,A dog runs outside with a yellow toy.,Ein Hund läuft im Freien mit einem gelben Spielzeug.
"Ein Hund, der einen Mantel trägt, läuft im Schnee.",A dog wearing a cover runs in the snow.,"Ein Hund mit einem Kappe rennt im Schnee. 


Ex"
Eine Familie spielt am Strand mit ihrem Hund.,A family is playing on the beach with their dog.,"Eine Familie spielt am Strand mit seinem Hund. 


"
"Eine Frau und ein Kind umarmen sich während das Kind kostet, was sie gerade gemeinsam zubereiten.",A woman and a child embrace while the child tastes what they have been making.,"Eine Frau und ein Kind umarmen sich, während das"
Zwei Männer und eine Dame stehen im Freien.,Two men and a lady are standing outside.,"Zwei Männer und eine Frau stehen draußen. 

"
"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",A group of men using logs to push a boat out of the water.,"Eine Gruppe Männer, die Holz zu bewegten, um"
Ein Mann trinkt aus einem Weinglas während er eine Zeitung liest.,A man drinks from a wineglass while reading the paper.,"Ein Mann trinkt eine Weinglas und liest die Zeitung. 

"
Ein ganz in schwarz gekleideter Mann spielt Piano.,A man wearing a all black and playing a piano.,"Ein Mann in schwarzer Kleidung spielt Klavier. 


"
Ein Junge in einem blauen Trikot und gelben Shorts spielt Fußball.,A young boy wearing a blue jersey and yellow shorts is playing soccer.,Ein Junge in einem blauen Trikot und gelben Shorts spi
Ein Mann steht auf einem Stein und breitet seine Arme aus wie ein Vogel.,A man is standing on a stone structure with his arms out like a bird.,Ein Mann steht mit ihren Armen nach einer Steinekonstru
Ein Hund trinkt draußen Wasser auf dem Gras.,A dog drinks water outside on the grass.,"Ein Hund trinkt draußen im Gras Wasser. 


"
Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops are looking at the camera.,"Zwei Frauen in Tanktops schauen an die Kamera. 

"
Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,A man is sitting in a barber's chair getting ready for a shave.,"Ein Mann sitzt bei einem Schmutzenkurfett, um z"
Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,A young child wearing green boots playing in a mud puddle,Ein kleines Kind mit grünen Stiefeln spielt im Schlammbeck
Ein Mann schneidet Holz mit einer Kettensäge.,A man using a chainsaw to cut lumber.,"Ein Mann, der einen Ketschschläger bereitet Lumber."
Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.,A man sitting at a picnic table with a tray and partially consumed beer in front of him.,Ein Mann sitzt an einem Picnictable mit einer Trähe und v
Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.,The boy wearing a black shirt and blue jeans is holding a red baseball bat.,Der Junge im schwarzen Hemd und blauen Jeans hält eine
"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras.",A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,Ein dunkelhaariger bärtiges Mann mit Brille und einem Hawaiis
Hunde Laufen auf einer Hunderennbahn.,Dogs run at a dog racetrack.,"Hunde rennen an einem Hundenring. 


"
Ein Lichttechniker mit Tribal-Tattoos richtet einen Scheinwerfer über einen Balkon.,A light technician man with tribal tattoos aiming a spotlight over a balcony.,"Ein Lichttechniker mit Tribüne-Tattoos, der einen Schl"
Zwei Deutsche Schäferhunde knurren einander an.,Two German sheperds snarling at each other.,Zwei Deutscher Hühnerhändler bewirrt sich an
"Das ist eine Gruppe von Leuten, die auf einem Event herumstehen.",This is a group of people standing around at some sort of event.,Eine Gruppe von Menschen steht um ein Event vorbei herum.
Ein braun-weißer Hund holt ein Spielzeug.,A brown and white dog fetching a toy.,Ein braun-weißer Hund wirft einen Spielzeug zur
Ein weißhaariger Mann spielt Akkordeon zwischen ein paar Gebäuden.,Man with white hair playing an accordion in the middle of some buildings.,Ein Mann mit weißem Haar spielt auf einem Akkorde
Eine Frau mit braunen Haaren sitzt auf einer Bank vor einem Café.,A woman with brown hair sitting on a bench outside a cafe.,Eine braune Frau sitzt im Freien auf einer Bank vor e
Ein Mann spielt neben einem Fahrrad Panflöte.,A man next to a bicycle is playing a pan flute.,"Ein Mann neben einem Fahrrad spielt Panflöte. 

"
Zwei Kinder balancieren auf einem Stamm und halten ein Seil.,Two kids are balancing on a log and holding a rope.,Zwei Kinder balanzen auf einem Baumstein und halten eine Seil
Ein Mann auf einem Motorrad zeigt einen Trick auf einer Rennstrecke.,A man riding a motorcycle is performing a trick at a track.,Ein Mann führt einem Motorrad an einer Rennstrecke e
Eine junge Frau mit einem purpurnen Tuch über dem Gesicht entspannt auf einem hölzernen Deck.,A young woman with a purple cloth hiding her face relaxes on a wooden deck.,Eine junge Frau mit einer lila Kleidung schlägt ih
Die Frau im braunen Shirt sitzt auf einer hellroten Bank.,The woman in the brown shirt is sitting on a bright red bench.,Die Frau im braunen Hemd sitzt an einem hellroten Bank.
Ein Hund läuft auf einem Baumstamm über einen kleinen Fluss.,A dog walks on a log across a small river.,Ein Hund läuft über einen Baumstamm durch e
Ein junger Mann in einem weißen T-Shirt und grün-schwarzen Shorts steht auf einem Pfeiler.,A young man wearing a white t-shirt and green and black shorts standing on a stump.,Ein junger Mann in einem weißen T-Shirt und grün
Alle Personen in der Gruppe stehen unter Regenschirmen.,The group of people are all covered by umbrellas.,Die Gruppe von Menschen ist alle mit Regenschirm gekleidet.
"Ein Mann macht Werbung mit einem riesigen Schild, das auf sein Fahrrad gebunden ist.",A man advertises with a giant sign tied onto his bicycle.,"Ein Mann verkauft mit einem großen Schild, der an seiner"
Ein Mann wirft einen Ast in einen Kanal während zwei Hunde zusehen.,A man is throwing a log into a waterway while two dogs watch.,Ein Mann wirft einen Baumstamm in einem Wasserstraße
"Gruppe älterer Menschen, die in einem Zelt am Wasser Instrumente spielen.",Group of elders playing instruments under a tent by the water.,Eine Gruppe Erwachsener spielt Instrumente unter einem Zelt
Eine Ansicht einer belebten Straße in der Stadt.,A view of a crowded city street.,Eine Blick auf ein belebtes städtischen Straße
Eine junge blonde Frau hält ein weißes Seil an einem sonnigen Tag.,A young blond woman holds a white rope on a sunny day.,Eine blonde Frau hält einen weißen Seil an einem son
Zwei Personen in blauen Hemden stehen mit einem Megafon im Freien.,Two people in blue shirts are outside with a bullhorn.,Zwei Menschen mit blauen Hemden sind im Freien und tragen einen
Ein schwarzer Hund springt in einen Pool.,A black dog springs up into a pool.,"Ein schwarzer Hund springt ins Wasser hoch. 


Exercise"
Ein Cowboy reitet ein Wildpferd in einem Wettbewerb.,A cowboy riding on the back of a bronco in a competition.,Ein Cowboy reitet bei einem Wettbewerb auf dem Rü
Eine Gruppe von Bahnarbeitern macht Wartungsarbeiten an Bahngleisen.,A railroad work crew performs maintenance on railroad tracks.,Ein Eisenbahnarbeitskreis führt eine Reparie von
Ein Arbeiter in einer orangefarbenen Weste arbeitet mit einer Schaufel.,A worker in an orange vest is using a shovel.,Ein Arbeiter mit einem orangen Weste schlägt einen Sch
Zwei Bauarbeiter diskutieren auf einer Baustelle.,Two construction workers have a discussion while on the work site.,Zwei Bauarbeiter unterhalten sich an der Baustelle eine
Drei Männer gehen bergauf.,Three men are walking up hill.,"Drei Männer gehen einen Hügel hoch. 


"
Eine asiatische Frau in einem Hochzeitskleid mit Blumenmuster posiert mit ihren Brautjungfern auf einer Brücke.,An Asian woman in a floral wedding dress poses on a bridge close to her bridesmaids.,Eine asiatische Frau im Blumenbrillantenkleid posiert
Ein junger Mann stimmt seine Gitarre in der Küche.,A young man tunes his guitar in the kitchen.,"Ein junger Mann tuniert seinen Gitarre im Küche. 

"
Drei Jungen spielen mit Schwämmen und Wassereimern.,Three boys are playing with sponges and buckets of water.,Drei Jungen spielen mit Spünzen und Bauchs von Wasser
Drei Arbeiter machen Ausbesserungen auf dem Gehsteig.,Three construction workers are mending pavement.,"Drei Bauarbeiter reinigen Plazepavement. 


Exercise 2"
Leute entspannen in einem Wald neben Kanus.,People chilling in at forest next to canoes.,"Menschen kühlen sich im Wald neben Kanuen. 

"
Ein Chor versammelt sich in einer Kirche.,A choir group is gathered together in a church.,Eine Chorgesellschaft versammelt sich im Kirche zusam
Eine Gruppe Teenager springt bei Nacht in die Luft und macht lustige Posen für die Kamera.,A group of young teenagers are jumping at night making funny poses for the camera.,Eine Gruppe junger Teenager springt nachts und machen lehrend
"Zwei Männer fahren in Kajaks, eines orange und das andere blau, einen Fluss hinab.","Two guys are kayaking, one orange one blue, down a creek.",Zwei Männer fahren mit Kajaks einen Wasserbedenk
Zwei Arbeiter streichen Zement auf einen Ziegelbau.,Two workers spread cement onto a brick building.,Zwei Arbeiter schießen Bismark an einem Backsteinbau.
Eine Dame in einem rötlichen Sweater und Jeans sitzt mit den Händen auf ihrem linken Knie.,A lady wearing a redish sweater and jeans is sitting with hands on her left knee,Eine Dame in einem roten Pullover und Jeans sitzt mit den Hä
Zwei Schauspieler inszenieren einen Kampf vor einen gebannten Publikum.,Two performers putting on a mock fight for an audience that is watching attentively.,Zwei Spieler spielen eine mögliche Kampf für einer
Ein Soldat entspannt und wartet auf einem Flughafen.,A GI relaxes and waits at an airport.,Ein Soldat schläft und wartet in einer Flughafen. 
"Ein Mann in einem gelben Mantel achtet auf ein Feuer, ein Junge im Anorak sieht zu.","A man in a yellow coat tends a fire, a boy in a parka watches.",Ein Mann im gelben Mantel arbeitet einen Feuer und ein Junge
Ein Mann und ein Junge auf einem felsigen Strand.,A man and a boy on a rocky beach.,"Ein Mann und einem Jungen am Felsenbreckenbecken. 

"
"Eine Frau auf einem Boot namens ""El Corazon"" lässt schwarze Gewichte ins Wasser fallen.","A woman on a boat named ""El Corazon"" drops black weights into the water.",Eine Frau in einem Boot mit dem Namen „El Corazón“
Ein Junge sitzt auf einem Fernrohr und schaut hindurch.,A boy sitting on and looking out from a microscope.,"Ein Junge sitzt und schaut von einem Mikroskop. 

"
Ein barfüßiges junges Mädchen in einem rosa Kleid springt im Freien.,A young barefoot girl in a pink dress is jumping outside.,Ein kleines männliches Mädchen mit nackten Toes
Viele Menschen sitzen um ein Zelt im Freien.,Many people are sitting around a tent outside.,"Viele Menschen sitzen draußen um ein Zelt herum. 

"
"Ein Jugendlicher in einem schwarzen T-Shirt mit dem Aufdruck ""Asian Pacific 2007"" sitzt und spielt eine Trommel.","A youth with a black shirt that says ""Asian Pacific 2007"" plays a drum while sitting.","Ein Jugendlicher mit einem schwarzen Hemd, der „As"
"Ein Mann verkauft Waren am Rand der Straße, die zu einem Großen Berg im Canyon führt.",A man selling items near the roadside to the great mountain of Canyon.,Ein Mann verkauft auf der Straße Gegenstände
Das Mädchen in Gelb lacht das Mädchen in Orange aus während das Mädchen in Blau zusieht.,The girl in yellow is laughing at the girl wearing orange whilst being watched by the girl in blue.,"Die Mädchen im gelben Trikot lacht an der Mutter in Orange,"
Ein Hund springt im Freien über ein Hindernis.,A dog jumps over an obstacle outside.,"Ein Hund springt über einen Obstacle im Freien. 


"
Hund mit schwarzem Halsband wälzt sich in Staub und trockenen Blättern.,Dog with black collar rolling in dirt and dried leaves,"Ein Hund mit schwarzer Rückenroll, der im Boden und a"
Zwei braune Hunde spielen grob miteinander.,Two brown dogs playing in a rough manner.,"Zwei braune Hunde spielen im nassern Mannes. 


"
"Ein Mann mit Schnurrbart und Bart hält eine Pfanne, aus der Flammen hochsteigen.",A man with a mustache and beard is holding a frying pan that has flames rising from it.,Ein Mann mit einem Schnauze und Bart hält einen Schüssel
Ein Mann mit Kleidung aus dem Unabhängigkeitskrieg schlägt eine Glocke.,"A man, wearing revolutionary period clothes, is ringing a bell.","Ein Revolutionärerkleidiger ringt einen Schlagzeug. 

"
Ein Mann in einem schwarzen Shirt angelt an einem felsigen Ufer.,A man in a black shirt fishing on a rocky shore.,"Ein Mann mit schwarzer Hemd, der an einem felsigen Fluss ang"
Zwei Hunde beschnuppern sich gegenseitig Nase an Nase.,Two dogs are nuzzling each other nose to nose.,Zwei Hunde beim Nüssen zusammen auf den Renn
Zwei Männer unterhalten sich auf dem Gehsteig während ein Auto vorbeifährt.,Two men stop to chat on the sidewalk as a car passes by.,"Zwei Männer halten an dem Gehweg, um zu reden,"
Ein Chinese sitzt und wartet auf Kundschaft.,A chinese man sitting down waiting for customers.,Ein chinesischer Mann sitzt und wartet auf Kunden zu befind
Geparkte Autos mit einem Schulbus dahinter.,Parked cars with a school bus behind them.,Ein parkendes Auto während der Hintergruppe eine Schulebus
Zwei Frauen in ähnlichen T-Shirts gehen nach links.,Two woman wearing similar shirts walk to the left.,Zwei Frauen in einem anderen Oberteil gehen zur Link. 
Ein kleines Kind in einer orangefarbenen Rettungsweste hält ein Paddel und paddelt in einem blauen Kajak auf einem Gewässer.,A young child wearing an orange life vest holding an oar paddling a blue kayak in a body of water.,Ein kleines Kind mit einem orangen Schwimmweste und einer O
Menschen gehen auf einem Pfad in einem Park voller Bäume.,People walking on a trail in a tree filled park.,Menschen gehen ein Weg durch einem Park mit Bäumen entlang.
"Drei Jugendliche reden in einer Menschenmenge, die Frau blickt verärgert.","Three young adults talk in a crowd of people, the woman looks upset.",Drei junge Erwachsene unterhalten sich beim Menschenm
