de,en,predicted_de,predicted_en
Ein Hund trinkt draußen Wasser auf dem Gras.,A dog drinks water outside on the grass.,,"A dog drinks water from the grass.
"
Zwei Frauen in Tank-Tops blicken in die Kamera.,Two women wearing tank tops are looking at the camera.,,"Two women are watching the camera on TV.
"
Ein Mann sitzt im Friseurstuhl und bereitet sich auf eine Rasur vor.,A man is sitting in a barber's chair getting ready for a shave.,,"A man sits in the rocking chair and prepares himself for a nap.
"
Ein kleines Kind in grünen Stiefeln spielt in einer Schlammpfütze.,A young child wearing green boots playing in a mud puddle,,"A little boy is playing in a sandbox.
"
Ein Mann schneidet Holz mit einer Kettensäge.,A man using a chainsaw to cut lumber.,,"A man cuts wood with a saw.
"
Ein Mann sitzt an einem Picknicktisch mit einem Tablett und halb ausgetrunkenem Bier vor sich.,A man sitting at a picnic table with a tray and partially consumed beer in front of him.,,A man is sitting at a picnic table with a bottle of beer in his hand and half-dr
Der Junge im schwarzen T-Shirt und blauen Jeans hält einen roten Baseballschläger.,The boy wearing a black shirt and blue jeans is holding a red baseball bat.,,"The boy in the black t-shirt and blue jeans is wearing a red baseball cap.
"
"Ein dunkelhaariger Mann mit Bart, Brille und Hawaiihemd sitzt auf dem Gras.",A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.,,"A dark man with glasses and Hawaiian shirt is sitting on the grass.
"
Hunde Laufen auf einer Hunderennbahn.,Dogs run at a dog racetrack.,,"Dogs run on dog tracks.
"
Ein Lichttechniker mit Tribal-Tattoos richtet einen Scheinwerfer über einen Balkon.,A light technician man with tribal tattoos aiming a spotlight over a balcony.,,"A light technician with tribal tattoos wears a helmet over his head.
"
Zwei Deutsche Schäferhunde knurren einander an.,Two German sheperds snarling at each other.,,"Two German Shepherd dogs are running together.
"
"Das ist eine Gruppe von Leuten, die auf einem Event herumstehen.",This is a group of people standing around at some sort of event.,,"That's a group of climbers who are going on an expedition.
"
Ein braun-weißer Hund holt ein Spielzeug.,A brown and white dog fetching a toy.,,"A brown and white dog is playing with a toy.
"
Ein weißhaariger Mann spielt Akkordeon zwischen ein paar Gebäuden.,Man with white hair playing an accordion in the middle of some buildings.,,"A blond man plays the accordion between a few buildings.
"
Eine Frau mit braunen Haaren sitzt auf einer Bank vor einem Café.,A woman with brown hair sitting on a bench outside a cafe.,,"A woman wearing brown shoes is sitting at a table in front of a café.
"
Ein Mann spielt neben einem Fahrrad Panflöte.,A man next to a bicycle is playing a pan flute.,,"A man is riding a bicycle hornpipe.
"
Zwei Kinder balancieren auf einem Stamm und halten ein Seil.,Two kids are balancing on a log and holding a rope.,,"Two children are balancing on one leg and holding onto each other's hands.
"
Ein Mann auf einem Motorrad zeigt einen Trick auf einer Rennstrecke.,A man riding a motorcycle is performing a trick at a track.,,"A man on a motorcycle performs a trick on a racetrack.
"
Eine junge Frau mit einem purpurnen Tuch über dem Gesicht entspannt auf einem hölzernen Deck.,A young woman with a purple cloth hiding her face relaxes on a wooden deck.,,"A young woman wearing an orange sweater on her head is standing in front of a hot tub.
"
Die Frau im braunen Shirt sitzt auf einer hellroten Bank.,The woman in the brown shirt is sitting on a bright red bench.,,"The woman in the brown shirt is sitting on a red sofa.
"
Ein Hund läuft auf einem Baumstamm über einen kleinen Fluss.,A dog walks on a log across a small river.,,"A dog is running over a small stream on top of a tree trunk.
"
Ein junger Mann in einem weißen T-Shirt und grün-schwarzen Shorts steht auf einem Pfeiler.,A young man wearing a white t-shirt and green and black shorts standing on a stump.,,"A young boy is wearing a white t-shirt and green shorts on his back.
"
Alle Personen in der Gruppe stehen unter Regenschirmen.,The group of people are all covered by umbrellas.,,"All the people in the group are standing under the raincoat.
"
"Ein Mann macht Werbung mit einem riesigen Schild, das auf sein Fahrrad gebunden ist.",A man advertises with a giant sign tied onto his bicycle.,,"A man does advertising with an inflated bicycle helmet on his head.
"
Ein Mann wirft einen Ast in einen Kanal während zwei Hunde zusehen.,A man is throwing a log into a waterway while two dogs watch.,,"A man throws a ball into a canal while two dogs watch.
"
"Gruppe älterer Menschen, die in einem Zelt am Wasser Instrumente spielen.",Group of elders playing instruments under a tent by the water.,,"Group of older people playing a game on an inflatable water slide.
"
Eine Ansicht einer belebten Straße in der Stadt.,A view of a crowded city street.,,"An overview of a crowded street in the city.
"
Eine junge blonde Frau hält ein weißes Seil an einem sonnigen Tag.,A young blond woman holds a white rope on a sunny day.,,"A young blond woman is carrying a white umbrella on a sunny day.
"
Zwei Personen in blauen Hemden stehen mit einem Megafon im Freien.,Two people in blue shirts are outside with a bullhorn.,,"Two people are standing with a mobile phone on the beach.
"
Ein schwarzer Hund springt in einen Pool.,A black dog springs up into a pool.,,"A black dog jumps into a pool.
"
Ein Cowboy reitet ein Wildpferd in einem Wettbewerb.,A cowboy riding on the back of a bronco in a competition.,,"A cowboy rides a wild horse in a competition.
"
Eine Gruppe von Bahnarbeitern macht Wartungsarbeiten an Bahngleisen.,A railroad work crew performs maintenance on railroad tracks.,,"A group of road construction workers is responsible for maintenance work on roads and highways.
"
Ein Arbeiter in einer orangefarbenen Weste arbeitet mit einer Schaufel.,A worker in an orange vest is using a shovel.,,"A worker in a red western works with an axe.
"
Zwei Bauarbeiter diskutieren auf einer Baustelle.,Two construction workers have a discussion while on the work site.,,"Two construction workers are discussing on the scaffolding.
"
Drei Männer gehen bergauf.,Three men are walking up hill.,,"Three men are climbing the mountain.
"
Eine asiatische Frau in einem Hochzeitskleid mit Blumenmuster posiert mit ihren Brautjungfern auf einer Brücke.,An Asian woman in a floral wedding dress poses on a bridge close to her bridesmaids.,,An Asian woman wearing an engagement dress with flower patterns sits on one side of the bridge holding her fian
Ein junger Mann stimmt seine Gitarre in der Küche.,A young man tunes his guitar in the kitchen.,,"A young boy says his guitar is on the table.
"
Drei Jungen spielen mit Schwämmen und Wassereimern.,Three boys are playing with sponges and buckets of water.,,"Three boys play with sticks and washbasins.
"
Drei Arbeiter machen Ausbesserungen auf dem Gehsteig.,Three construction workers are mending pavement.,,"Three workers are making repairs on the roof.
"
Leute entspannen in einem Wald neben Kanus.,People chilling in at forest next to canoes.,,"People are camping by a lake next to a forest.
"
Ein Chor versammelt sich in einer Kirche.,A choir group is gathered together in a church.,,"A choir was singing inside a church.
"
Eine Gruppe Teenager springt bei Nacht in die Luft und macht lustige Posen für die Kamera.,A group of young teenagers are jumping at night making funny poses for the camera.,,"A group of teenagers goes out at night and shoots funny pictures for the camera.
"
"Zwei Männer fahren in Kajaks, eines orange und das andere blau, einen Fluss hinab.","Two guys are kayaking, one orange one blue, down a creek.",,"Two men are walking on a bridge, one carrying an apple and the other a blue balloon. They"
Zwei Arbeiter streichen Zement auf einen Ziegelbau.,Two workers spread cement onto a brick building.,,"Two workers are carrying cement on a scaffolding.
"
Eine Dame in einem rötlichen Sweater und Jeans sitzt mit den Händen auf ihrem linken Knie.,A lady wearing a redish sweater and jeans is sitting with hands on her left knee,,A woman is sitting on the couch with her hands behind her back wearing a red sweater and jeans.
Zwei Schauspieler inszenieren einen Kampf vor einen gebannten Publikum.,Two performers putting on a mock fight for an audience that is watching attentively.,,"Two actors prepare a play for an engaged audience.
"
Ein Soldat entspannt und wartet auf einem Flughafen.,A GI relaxes and waits at an airport.,,"A soldier gets shot at an airport.
"
"Ein Mann in einem gelben Mantel achtet auf ein Feuer, ein Junge im Anorak sieht zu.","A man in a yellow coat tends a fire, a boy in a parka watches.",,A man is sitting on the couch next to a fire and reading a book while wearing a jacket.
Ein Mann und ein Junge auf einem felsigen Strand.,A man and a boy on a rocky beach.,,"A man and a boy on a sandy beach.
"
"Eine Frau auf einem Boot namens ""El Corazon"" lässt schwarze Gewichte ins Wasser fallen.","A woman on a boat named ""El Corazon"" drops black weights into the water.",,"A woman named ""The Heart"" fell into the water and got black stains on her clothes.
"
Ein Junge sitzt auf einem Fernrohr und schaut hindurch.,A boy sitting on and looking out from a microscope.,,"A young man sits on a bench and looks behind him.
"
Ein barfüßiges junges Mädchen in einem rosa Kleid springt im Freien.,A young barefoot girl in a pink dress is jumping outside.,,"A cute little girl wearing a pink dress is playing outside the park.
"
Viele Menschen sitzen um ein Zelt im Freien.,Many people are sitting around a tent outside.,,"Many people are sitting around a fire pit in the wilderness.
"
"Ein Jugendlicher in einem schwarzen T-Shirt mit dem Aufdruck ""Asian Pacific 2007"" sitzt und spielt eine Trommel.","A youth with a black shirt that says ""Asian Pacific 2007"" plays a drum while sitting.",,"A young man wearing a black t-shirt with the print ""Asian Pacific 2007"" is sitting and"
"Ein Mann verkauft Waren am Rand der Straße, die zu einem Großen Berg im Canyon führt.",A man selling items near the roadside to the great mountain of Canyon.,,A man buys some goods at a market on the street that leads up to a big mountain in the
Das Mädchen in Gelb lacht das Mädchen in Orange aus während das Mädchen in Blau zusieht.,The girl in yellow is laughing at the girl wearing orange whilst being watched by the girl in blue.,,"The girl in yellow laughs at the girl in blue while they play together with their friends.
"
Ein Hund springt im Freien über ein Hindernis.,A dog jumps over an obstacle outside.,,"A dog jumps over a hurdle.
"
Hund mit schwarzem Halsband wälzt sich in Staub und trockenen Blättern.,Dog with black collar rolling in dirt and dried leaves,,"The dog with a black collar is lying on the ground and barking at leaves.
"
